appl_id,project,nctid
10217509,DA044279-03,NCT04752189
10219462,AT010606-03,NCT04712981
10219647,CA189824-07S2,NCT01988571
10219647,CA189824-07S2,NCT02063828
10219647,CA189824-07S2,NCT02589938
10219647,CA189824-07S2,NCT02791581
10219647,CA189824-07S2,NCT02822573
10219647,CA189824-07S2,NCT03060096
10219647,CA189824-07S2,NCT03148080
10219647,CA189824-07S2,NCT03291587
10219647,CA189824-07S2,NCT03475186
10219647,CA189824-07S2,NCT03746314
10219647,CA189824-07S2,NCT03935282
10219647,CA189824-07S2,NCT03963739
10219647,CA189824-07S2,NCT03998202
10219647,CA189824-07S2,NCT04208490
10219647,CA189824-07S2,NCT04462302
10223257,DA050398-03,NCT05006846
10223257,DA050398-03,NCT05017272
10224964,DA047926-02S1,NCT04222556
10224983,DA050235-02S1,NCT04617938
10224988,NS115111-02,NCT05045625
10236607,AG067493-02,NCT04523714
10239201,NS115631-03,NCT04144972
10239279,AT010621-02,NCT04129450
10249370,NS115111-03,NCT05045625
10250448,AT009763-05,NCT04172038
10250448,AT009763-05,NCT04770480
10250564,DA044279-04,NCT04752189
10250682,DA051241-02,NCT04648228
10252066,DA050235-03,NCT04617938
10252951,DA050234-03,NCT04839978
10253179,AT010604-01S1,NCT04080180
10253179,AT010604-01S1,NCT04464421
10253179,AT010604-01S1,NCT04693416
10253179,AT010604-01S1,NCT05075330
10253180,AT010806-01S1,NCT04736550
10253306,AR076387-02,NCT04683042
10258046,AR076568-02S1,NCT04747314
10258492,AR077360-02,NCT04504812
10259507,DA049300-02,NCT04834297
10259870,DA051241-03,NCT04648228
10262845,HD102038-02,NCT04637802
10263299,AG067593-03,NCT04570371
10264127,AG067493-03,NCT04523714
10265606,AT010621-03,NCT04129450
10267739,AR076573-03,NCT04409353
10267746,AR076568-03,NCT04747314
10268237,DA053011-02,NCT04838925
10271400,AR077360-03,NCT04504812
10333110,DA047720-03,NCT03810495
10350470,AR076573-03S2,NCT04409353
10351640,DA049412-03S2,NCT04111939
10352674,AR077360-03S1,NCT04504812
10352954,DA050174-02S2,NCT04135703
10353177,DA049394-01S1,NCT04111939
10358190,DA047926-03S1,NCT04222556
10358343,DA040316-07S1,NCT03559179
10358343,DA040316-07S1,NCT04198428
10358343,DA040316-07S1,NCT04345718
10358343,DA040316-07S1,NCT04867382
10358343,DA040316-07S1,NCT04921787
10372803,DA046316-02S1,NCT04683926
10376890,DA048502-01A1S2,NCT04556552
10379688,DA013035-20S3,NCT02032433
10379688,DA013035-20S3,NCT04218201
10379688,DA013035-20S3,NCT04289363
10379688,DA013035-20S3,NCT04464980
10379688,DA013035-20S3,NCT04762537
10379689,DA013035-20S1,NCT02032433
10379689,DA013035-20S1,NCT04218201
10379689,DA013035-20S1,NCT04289363
10379689,DA013035-20S1,NCT04464980
10379689,DA013035-20S1,NCT04762537
10379690,DA013035-20S2,NCT02032433
10379690,DA013035-20S2,NCT04218201
10379690,DA013035-20S2,NCT04289363
10379690,DA013035-20S2,NCT04464980
10379690,DA013035-20S2,NCT04762537
10379692,DA013720-22S1,NCT03918850
10379694,DA013727-22S1,NCT01675661
10379694,DA013727-22S1,NCT03918850
10379694,DA013727-22S1,NCT04907357
10379694,DA013727-22S1,NCT05123027
10379697,DA013732-22S1,NCT03911466
10379697,DA013732-22S1,NCT03911739
10379697,DA013732-22S1,NCT03918850
10379701,DA015815-20S1,NCT03918850
10379702,DA015815-20S2,NCT03918850
10379703,DA040314-07S1,NCT03407638
10379703,DA040314-07S1,NCT04535583
10379705,DA040316-07S2,NCT03559179
10379705,DA040316-07S2,NCT04198428
10379705,DA040316-07S2,NCT04345718
10379705,DA040316-07S2,NCT04867382
10379705,DA040316-07S2,NCT04921787
10379710,DA049436-03S2,NCT03918850
10379710,DA049436-03S2,NCT04218201
10379715,DA049468-03S2,NCT03918850
10380196,DA015831-20S1,NCT03023930
10380196,DA015831-20S1,NCT03918850
10380196,DA015831-20S1,NCT03985163
10380196,DA015831-20S1,NCT04200339
10380196,DA015831-20S1,NCT04225598
10380196,DA015831-20S1,NCT04464980
10380197,DA015831-20S2,NCT03023930
10380197,DA015831-20S2,NCT03918850
10380197,DA015831-20S2,NCT03985163
10380197,DA015831-20S2,NCT04200339
10380197,DA015831-20S2,NCT04225598
10380197,DA015831-20S2,NCT04464980
10387466,DA040309-07S1,NCT04155502
10387466,DA040309-07S1,NCT04289363
10387466,DA040309-07S1,NCT04535583
10395664,AR076734-01S2,NCT04870957
10397259,DA050173-02S1,NCT04550715
10398444,AR076734-01S4,NCT04870957
10399783,AT010621-03S2,NCT04129450
10399907,DA049468-03S3,NCT03918850
10400316,AR077360-03S2,NCT04504812
10400340,CA189824-08S2,NCT01988571
10400340,CA189824-08S2,NCT02063828
10400340,CA189824-08S2,NCT02589938
10400340,CA189824-08S2,NCT02791581
10400340,CA189824-08S2,NCT02822573
10400340,CA189824-08S2,NCT03060096
10400340,CA189824-08S2,NCT03148080
10400340,CA189824-08S2,NCT03291587
10400340,CA189824-08S2,NCT03475186
10400340,CA189824-08S2,NCT03746314
10400340,CA189824-08S2,NCT03935282
10400340,CA189824-08S2,NCT03963739
10400340,CA189824-08S2,NCT03998202
10400340,CA189824-08S2,NCT04208490
10400340,CA189824-08S2,NCT04462302
10400379,HD101059-01S2,NCT04149509
