Appl Id,Project,ClinicalTrial.gov NCT (Source) Lists
10258492,AR077360-02,NCT04504812 (HSSTUDY)
10259507,DA049300-02,NCT04834297 (HSSTUDY)
10259870,DA051241-03,NCT04648228 (HSSTUDY)
10262845,HD102038-02,NCT04637802 (CT)
10263299,AG067593-03,NCT04570371 (HSSTUDY)
10264127,AG067493-03,NCT04523714 (HSSTUDY)
10265606,AT010621-03,"NCT04129450 (HSSTUDY, CT)"
10267739,AR076573-03,NCT04409353 (HSSTUDY)
10267746,AR076568-03,NCT04747314 (HSSTUDY)
10268237,DA053011-02,"NCT04838925 (HSSTUDY, CT)"
10271400,AR077360-03,NCT04504812 (HSSTUDY)
10333110,DA047720-03,NCT03810495 (HSSTUDY)
10350470,AR076573-03S2,NCT04409353 (HSSTUDY)
10351640,DA049412-03S2,"NCT04111939 (HSSTUDY, CT)"
10352674,AR077360-03S1,NCT04504812 (HSSTUDY)
10352954,DA050174-02S2,NCT04135703 (HSSTUDY)
10353177,DA049394-01S1,NCT04111939 (CT)
10358190,DA047926-03S1,NCT04222556 (HSSTUDY)
10358343,DA040316-07S1,"NCT03559179 (CT), NCT04198428 (HSSTUDY, CT), NCT04345718 (HSSTUDY, CT), NCT04867382 (CT), NCT04921787 (CT)"
10372803,DA046316-02S1,NCT04683926 (CT)
10376890,DA048502-01A1S2,NCT04556552 (CT)
10379688,DA013035-20S3,"NCT02032433 (CT), NCT04218201 (HSSTUDY), NCT04289363 (HSSTUDY, CT), NCT04464980 (HSSTUDY, CT), NCT04762537 (HSSTUDY, CT)"
10379689,DA013035-20S1,"NCT02032433 (CT), NCT04218201 (HSSTUDY), NCT04289363 (HSSTUDY, CT), NCT04464980 (HSSTUDY, CT), NCT04762537 (HSSTUDY, CT)"
10379690,DA013035-20S2,"NCT02032433 (CT), NCT04218201 (HSSTUDY), NCT04289363 (HSSTUDY, CT), NCT04464980 (HSSTUDY, CT), NCT04762537 (HSSTUDY, CT)"
10379692,DA013720-22S1,NCT03918850 (HSSTUDY)
10379694,DA013727-22S1,"NCT01675661 (CT), NCT03918850 (HSSTUDY), NCT04907357 (CT), NCT05123027 (HSSTUDY)"
10379697,DA013732-22S1,"NCT03911466 (CT), NCT03911739 (CT), NCT03918850 (HSSTUDY, CT)"
10379701,DA015815-20S1,NCT03918850 (HSSTUDY)
10379702,DA015815-20S2,NCT03918850 (HSSTUDY)
10379703,DA040314-07S1,"NCT03407638 (HSSTUDY, CT), NCT04535583 (CT)"
10379705,DA040316-07S2,"NCT03559179 (CT), NCT04198428 (HSSTUDY, CT), NCT04345718 (HSSTUDY, CT), NCT04867382 (CT), NCT04921787 (CT)"
10379710,DA049436-03S2,"NCT03918850 (HSSTUDY), NCT04218201 (HSSTUDY)"
10379715,DA049468-03S2,NCT03918850 (HSSTUDY)
10380196,DA015831-20S1,"NCT03023930 (HSSTUDY, CT), NCT03918850 (HSSTUDY), NCT03985163 (CT), NCT04200339 (HSSTUDY, CT), NCT04225598 (HSSTUDY), NCT04464980 (CT)"
10380197,DA015831-20S2,"NCT03023930 (HSSTUDY, CT), NCT03918850 (HSSTUDY), NCT03985163 (CT), NCT04200339 (HSSTUDY, CT), NCT04225598 (HSSTUDY), NCT04464980 (CT)"
10387466,DA040309-07S1,"NCT04155502 (HSSTUDY, CT), NCT04289363 (HSSTUDY), NCT04535583 (CT)"
10395664,AR076734-01S2,NCT04870957 (CT)
10397259,DA050173-02S1,NCT04550715 (HSSTUDY)
10398444,AR076734-01S4,NCT04870957 (CT)
10399783,AT010621-03S2,"NCT04129450 (HSSTUDY, CT)"
10399907,DA049468-03S3,NCT03918850 (HSSTUDY)
10400316,AR077360-03S2,NCT04504812 (HSSTUDY)
10400340,CA189824-08S2,"NCT01988571 (HSSTUDY), NCT02063828 (HSSTUDY, CT), NCT02589938 (HSSTUDY), NCT02791581 (HSSTUDY), NCT02822573 (HSSTUDY, CT), NCT03060096 (HSSTUDY, CT), NCT03148080 (HSSTUDY, CT), NCT03291587 (HSSTUDY), NCT03475186 (HSSTUDY, CT), NCT03746314 (CT), NCT03935282 (HSSTUDY), NCT03963739 (HSSTUDY, CT), NCT03998202 (HSSTUDY), NCT04208490 (HSSTUDY), NCT04462302 (HSSTUDY, CT)"
10400379,HD101059-01S2,NCT04149509 (CT)
10400468,AR076573-03S1,NCT04409353 (HSSTUDY)
10401158,DA013714-20S3,"NCT03023930 (HSSTUDY), NCT03918850 (HSSTUDY), NCT04418453 (HSSTUDY)"
10406102,NS115111-03S1,NCT05045625 (HSSTUDY)
10414223,HD101059-01S3,NCT04149509 (CT)
10415416,AR076734-01S3,NCT04870957 (CT)
10426755,AR081143-01,NCT04504812 (HSSTUDY)
10434255,HD036801-24S1,"NCT02518594 (HSSTUDY), NCT02901626 (HSSTUDY), NCT03364491 (HSSTUDY), NCT03487185 (HSSTUDY), NCT03944512 (HSSTUDY), NCT04296396 (HSSTUDY)"
10436556,NS126861-01,NCT04367480 (HSSTUDY)
10440189,DA050235-03S1,"NCT04617938 (HSSTUDY, CT)"
10441666,DA050189-03,NCT04901312 (HSSTUDY)
10441986,DA013732-22S3,"NCT03911466 (CT), NCT03911739 (CT), NCT03918850 (HSSTUDY, CT)"
10450554,DA015831-20S5,"NCT03023930 (HSSTUDY, CT), NCT03918850 (HSSTUDY), NCT03985163 (CT), NCT04200339 (HSSTUDY, CT), NCT04225598 (HSSTUDY), NCT04464980 (CT)"
10454450,CA189824-08S1,"NCT01988571 (HSSTUDY), NCT02063828 (HSSTUDY, CT), NCT02589938 (HSSTUDY), NCT02791581 (HSSTUDY), NCT02822573 (HSSTUDY, CT), NCT03060096 (HSSTUDY, CT), NCT03148080 (HSSTUDY, CT), NCT03291587 (HSSTUDY), NCT03475186 (HSSTUDY, CT), NCT03746314 (CT), NCT03935282 (HSSTUDY), NCT03963739 (HSSTUDY, CT), NCT03998202 (HSSTUDY), NCT04208490 (HSSTUDY), NCT04462302 (HSSTUDY, CT)"
10454583,DA048734-03,NCT03789214 (HSSTUDY)
10462326,HD101059-01S4,NCT04149509 (CT)
10467167,DA056230-02,NCT04173416 (HSSTUDY)
10469886,DK123813-01S2,"NCT04571619 (HSSTUDY, CT)"
10471577,NR019943-02,NCT04923334 (HSSTUDY)
10474683,AT010604-02,"NCT04464421 (HSSTUDY), NCT04693416 (HSSTUDY), NCT05075330 (HSSTUDY)"
10474728,DA013035-20S5,"NCT02032433 (CT), NCT04218201 (HSSTUDY), NCT04289363 (HSSTUDY, CT), NCT04464980 (HSSTUDY, CT), NCT04762537 (HSSTUDY, CT)"
10478434,AT010606-03S1,NCT04712981 (CT)
10479208,AT010802-02,NCT04233671 (HSSTUDY)
